Line,EngSpd,EngPwr,EngTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,STPPwr,STPTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,Oil_P ,Man_P ,MAP   ,BoostP,FuelP1,FuelP2,Batt_V,------,EngSpd,Exh_1 ,Exh_2 ,Exh_3 ,Exh_4 ,Bear1T,Bear2T,Loss1T,LossT2,EngSpd,OilSmp,CoolOt,------,------,------,------,------,------,EngSpd,NetFlo,GasOut,GasIn ,FuelSG,Air_1s,DeltaT,FuelP1,FuelP2,EngSpd,Accel ,Rate  ,------,------,------,------,------,------,EngSpd,AFR_1 ,AFR_2 ,AFR_3 ,AFR_4 ,AFR_5 ,AFR_6 ,AFR_7 ,AFR_8 ,LineNo,EngBor,EngStr,EngCyl,EngCyc,Displ ,Inrtia,InrCor,------,LineNo,STPCor,Baro_P,AirInT,Humidy,Vap_P ,DenAlt,AirDen,WatGrn,
no,RPM   ,Hp    ,lbs-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,CHp   ,Clb-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,0-150p,InHg  ,kPa   ,0-150p,0-150p,0-150p,vdc   ,------,RPM   ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,RPM   ,deg F ,deg F ,------,------,------,------,------,------,RPM   ,lbs/hr,lbs/hr,lbs/hr,lb/gal,SCFM  ,deg F ,0-150p,0-150p,RPM   ,RPM/s ,rpm   ,------,------,------,------,------,------,RPM   ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,      ,inches,inches,number,cycles,ci    ,factor,Yes/No,------,      ,Factor,InHga ,degF  ,%     ,InHg  ,Feet  ,lb/cft,grains,
1,3500,18.1,27.2,8.1,0.0,0.448,92,0,-0.2,3500,19.2,28.8,8.1,0.0,0.448,92,0,-0.2,3500,-0.2,-0.3,97.9,-0.2,54.7,-0.2,13.0,0,3500,1155,0,0,0,79,68,81,67,3500,0,92,0,0,0,0,0,0,3500,8.1,257.3,249.2,0.750,0.0,34,54.7,-0.2,3500,77,300,0,0,0,0,0,0,3500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.740,2.835,1,4,31.1,0.400,1,0,1,1.059,29.21,75.7,57.6,0.52,2236,0.072,80.5,
2,3600,22.0,32.1,5.4,0.0,0.244,92,0,-0.3,3600,23.3,34.0,5.4,0.0,0.244,92,0,-0.3,3600,-0.3,-0.3,97.8,-0.2,54.8,-0.2,13.0,0,3600,1154,0,0,0,79,68,81,68,3600,0,92,0,0,0,0,0,0,3600,5.4,256.7,251.3,0.750,0.0,34,54.8,-0.2,3600,237,300,0,0,0,0,0,0,3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.740,2.835,1,4,31.1,0.400,1,0,2,1.059,29.21,75.7,57.6,0.52,2236,0.072,80.5,
3,3700,22.9,32.6,5.1,0.0,0.220,93,0,-0.3,3700,24.3,34.5,5.1,0.0,0.220,93,0,-0.3,3700,-0.3,-0.3,97.9,-0.2,54.8,-0.2,13.0,0,3700,1153,0,0,0,79,68,81,68,3700,0,93,0,0,0,0,0,0,3700,5.1,257.3,252.2,0.750,0.0,34,54.8,-0.2,3700,249,300,0,0,0,0,0,0,3700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.740,2.835,1,4,31.1,0.400,1,0,3,1.059,29.21,75.7,57.6,0.52,2236,0.072,80.5,
4,3800,24.3,33.6,7.8,0.0,0.320,93,0,-0.3,3800,25.7,35.5,7.8,0.0,0.320,93,0,-0.3,3800,-0.3,-0.3,98.0,-0.1,54.8,-0.2,13.0,0,3800,1151,0,0,0,79,68,81,68,3800,0,93,0,0,0,0,0,0,3800,7.8,257.8,250.0,0.750,0.0,34,54.8,-0.2,3800,298,300,0,0,0,0,0,0,3800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3.740,2.835,1,4,31.1,0.400,1,0,4,1.059,29.21,75.7,57.6,0.52,2236,0.072,80.5,
5,3900,26.4,35.5,8.4,0.0,0.320,93,0,-0.3,3900,27.9,37.6,8.4,0.0,0.320,93,0,-0.3,3900,-0.3,-0.3,98.0,-0.1,54.7,-0.2,13.0,0,3900,1150,0,0,0,79,68,81,68,3900,0,93,0,0,0,0,0,0,3900,8.4,257.4,249.0,0.750,0.0,34,54.7,-0.2,3900,368,300,0,0,0,0,0,0,3900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3.740,2.835,1,4,31.1,0.400,1,0,5,1.059,29.21,75.7,57.6,0.52,2236,0.072,80.5,
6,4000,28.5,37.4,8.6,0.0,0.303,94,0,-0.2,4000,30.2,39.6,8.6,0.0,0.303,94,0,-0.2,4000,-0.2,-0.3,97.9,-0.1,54.7,-0.2,13.0,0,4000,1149,0,0,0,79,68,81,68,4000,0,94,0,0,0,0,0,0,4000,8.6,256.1,247.5,0.750,0.0,34,54.7,-0.2,4000,435,300,0,0,0,0,0,0,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3.740,2.835,1,4,31.1,0.400,1,0,6,1.059,29.21,75.7,57.6,0.52,2236,0.072,80.5,
7,4100,29.2,37.4,7.9,0.0,0.269,94,0,-0.2,4100,31.0,39.6,7.9,0.0,0.269,94,0,-0.2,4100,-0.2,-0.3,97.9,-0.1,54.7,-0.2,13.0,0,4100,1148,0,0,0,79,68,81,68,4100,0,94,0,0,0,0,0,0,4100,7.9,255.2,247.3,0.750,0.0,34,54.7,-0.2,4100,429,300,0,0,0,0,0,0,4100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3.740,2.835,1,4,31.1,0.400,1,0,7,1.059,29.20,75.7,57.6,0.52,2238,0.072,80.5,
8,4200,28.2,35.2,6.3,0.0,0.224,94,0,-0.2,4200,29.8,37.3,6.3,0.0,0.224,94,0,-0.2,4200,-0.2,-0.3,98.0,-0.1,54.7,-0.2,13.0,0,4200,1147,0,0,0,79,68,81,68,4200,0,94,0,0,0,0,0,0,4200,6.3,253.9,247.5,0.750,0.0,33,54.7,-0.2,4200,349,300,0,0,0,0,0,0,4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3.740,2.835,1,4,31.1,0.400,1,0,8,1.059,29.20,75.7,57.6,0.52,2238,0.072,80.5,
9,4300,26.3,32.2,5.8,0.0,0.220,96,0,-0.2,4300,27.9,34.1,5.8,0.0,0.220,96,0,-0.2,4300,-0.2,-0.2,98.1,-0.1,54.7,-0.2,13.0,0,4300,1148,0,0,0,79,68,81,68,4300,0,96,0,0,0,0,0,0,4300,5.8,254.5,248.7,0.750,0.0,32,54.7,-0.2,4300,253,300,0,0,0,0,0,0,4300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,3.740,2.835,1,4,31.1,0.400,1,0,9,1.059,29.21,75.7,57.6,0.52,2237,0.072,80.6,
10,4400,26.3,31.4,8.3,0.0,0.317,96,0,-0.2,4400,27.8,33.2,8.3,0.0,0.317,96,0,-0.2,4400,-0.2,-0.2,98.2,-0.1,54.7,-0.2,13.0,0,4400,1153,0,0,0,79,68,81,68,4400,0,96,0,0,0,0,0,0,4400,8.3,256.8,248.5,0.750,0.0,32,54.7,-0.2,4400,249,300,0,0,0,0,0,0,4400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,3.740,2.835,1,4,31.1,0.400,1,0,10,1.059,29.21,75.7,57.6,0.52,2237,0.072,80.6,
11,4500,27.3,31.9,10.5,0.0,0.384,97,0,-0.2,4500,28.9,33.8,10.5,0.0,0.384,97,0,-0.2,4500,-0.2,-0.2,98.3,-0.1,54.7,-0.3,13.0,0,4500,1157,0,0,0,79,69,81,68,4500,0,97,0,0,0,0,0,0,4500,10.5,258.1,247.6,0.750,0.0,31,54.7,-0.3,4500,284,300,0,0,0,0,0,0,4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,3.740,2.835,1,4,31.1,0.400,1,0,11,1.059,29.21,75.7,57.6,0.52,2237,0.072,80.6,
12,4600,28.5,32.6,10.1,0.0,0.353,97,0,-0.2,4600,30.2,34.5,10.1,0.0,0.353,97,0,-0.2,4600,-0.2,-0.2,98.3,-0.1,54.7,-0.3,13.0,0,4600,1160,0,0,0,79,69,81,68,4600,0,97,0,0,0,0,0,0,4600,10.1,257.8,247.8,0.750,0.0,31,54.7,-0.3,4600,322,300,0,0,0,0,0,0,4600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,3.740,2.835,1,4,31.1,0.400,1,0,12,1.059,29.21,75.7,57.6,0.52,2237,0.072,80.6,
13,4700,29.3,32.7,9.2,0.0,0.313,97,0,-0.2,4700,31.0,34.7,9.2,0.0,0.313,97,0,-0.2,4700,-0.2,-0.2,98.2,-0.1,54.7,-0.2,13.0,0,4700,1162,0,0,0,79,68,81,67,4700,0,97,0,0,0,0,0,0,4700,9.2,257.5,248.3,0.750,0.0,31,54.7,-0.2,4700,337,300,0,0,0,0,0,0,4700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,3.740,2.835,1,4,31.1,0.400,1,0,13,1.059,29.20,75.7,57.6,0.52,2239,0.072,80.6,
14,4800,30.3,33.1,8.6,0.0,0.284,97,0,-0.2,4800,32.1,35.1,8.6,0.0,0.284,97,0,-0.2,4800,-0.2,-0.2,98.2,-0.1,54.7,-0.2,13.0,0,4800,1163,0,0,0,79,68,81,67,4800,0,97,0,0,0,0,0,0,4800,8.6,256.9,248.3,0.750,0.0,32,54.7,-0.2,4800,354,300,0,0,0,0,0,0,4800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,3.740,2.835,1,4,31.1,0.400,1,0,14,1.059,29.20,75.7,57.6,0.52,2239,0.072,80.6,
15,4900,31.1,33.3,9.1,0.0,0.293,97,0,-0.2,4900,32.9,35.3,9.1,0.0,0.293,97,0,-0.2,4900,-0.2,-0.2,98.1,-0.1,54.7,-0.2,13.0,0,4900,1164,0,0,0,79,68,81,67,4900,0,97,0,0,0,0,0,0,4900,9.1,256.4,247.3,0.750,0.0,32,54.7,-0.2,4900,360,300,0,0,0,0,0,0,4900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,3.740,2.835,1,4,31.1,0.400,1,0,15,1.059,29.20,75.7,57.6,0.52,2239,0.072,80.6,
16,5000,31.4,33.0,8.8,0.0,0.280,97,0,-0.2,5000,33.3,34.9,8.8,0.0,0.280,97,0,-0.2,5000,-0.2,-0.2,98.1,-0.1,54.7,-0.2,13.0,0,5000,1165,0,0,0,80,68,81,68,5000,0,97,0,0,0,0,0,0,5000,8.8,254.8,246.0,0.750,0.0,32,54.7,-0.2,5000,348,300,0,0,0,0,0,0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,3.740,2.835,1,4,31.1,0.400,1,0,16,1.059,29.20,75.7,57.6,0.52,2239,0.072,80.6,
17,5100,30.2,31.1,7.4,0.0,0.244,97,0,-0.2,5100,31.9,32.9,7.4,0.0,0.244,97,0,-0.2,5100,-0.2,-0.3,98.0,-0.1,54.7,-0.2,13.0,0,5100,1167,0,0,0,80,68,81,68,5100,0,97,0,0,0,0,0,0,5100,7.4,253.7,246.4,0.750,0.0,31,54.7,-0.2,5100,284,300,0,0,0,0,0,0,5100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,3.740,2.835,1,4,31.1,0.400,1,0,17,1.059,29.21,75.7,57.6,0.52,2237,0.072,80.6,
18,5200,32.2,32.6,7.1,0.0,0.222,98,0,-0.2,5200,34.1,34.5,7.1,0.0,0.222,98,0,-0.2,5200,-0.2,-0.3,98.0,-0.1,54.7,-0.2,13.0,0,5200,1170,0,0,0,80,68,80,68,5200,0,98,0,0,0,0,0,0,5200,7.1,253.3,246.2,0.750,0.0,31,54.7,-0.2,5200,325,300,0,0,0,0,0,0,5200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,3.740,2.835,1,4,31.1,0.400,1,0,18,1.059,29.21,75.7,57.6,0.52,2238,0.072,80.6,
19,5300,36.6,36.3,7.3,0.0,0.200,97,0,-0.2,5300,38.7,38.4,7.3,0.0,0.200,97,0,-0.2,5300,-0.2,-0.3,98.0,-0.1,54.7,-0.2,13.0,0,5300,1173,0,0,0,80,68,80,68,5300,0,97,0,0,0,0,0,0,5300,7.3,252.8,245.5,0.750,0.0,31,54.7,-0.2,5300,423,300,0,0,0,0,0,0,5300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,3.740,2.835,1,4,31.1,0.400,1,0,19,1.059,29.21,75.7,57.6,0.52,2238,0.072,80.6,
20,5400,39.1,38.1,7.3,0.0,0.187,97,0,-0.2,5400,41.4,40.3,7.3,0.0,0.187,97,0,-0.2,5400,-0.2,-0.3,98.0,-0.1,54.7,-0.2,13.0,0,5400,1175,0,0,0,80,68,80,68,5400,0,97,0,0,0,0,0,0,5400,7.3,252.4,245.1,0.750,0.0,31,54.7,-0.2,5400,453,300,0,0,0,0,0,0,5400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,3.740,2.835,1,4,31.1,0.400,1,0,20,1.059,29.21,75.7,57.6,0.52,2238,0.072,80.6,
21,5500,39.1,37.3,6.7,0.0,0.172,97,0,-0.2,5500,41.4,39.5,6.7,0.0,0.172,97,0,-0.2,5500,-0.2,-0.2,98.1,-0.1,54.7,-0.2,13.0,0,5500,1177,0,0,0,79,68,80,68,5500,0,97,0,0,0,0,0,0,5500,6.7,252.4,245.7,0.750,0.0,32,54.7,-0.2,5500,400,300,0,0,0,0,0,0,5500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,3.740,2.835,1,4,31.1,0.400,1,0,21,1.059,29.20,75.7,57.6,0.52,2241,0.072,80.6,
22,5600,35.4,33.2,9.8,0.0,0.276,98,0,-0.2,5600,37.5,35.1,9.8,0.0,0.276,98,0,-0.2,5600,-0.2,-0.3,97.9,-0.1,54.7,-0.2,13.0,0,5600,1187,0,0,0,79,68,80,68,5600,0,98,0,0,0,0,0,0,5600,9.8,256.5,246.7,0.750,0.0,32,54.7,-0.2,5600,242,300,0,0,0,0,0,0,5600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,3.740,2.835,1,4,31.1,0.400,1,0,22,1.059,29.20,75.7,57.6,0.52,2241,0.072,80.6,
23,5700,38.9,35.9,10.8,0.0,0.277,98,0,-0.2,5700,41.2,38.0,10.8,0.0,0.277,98,0,-0.2,5700,-0.2,-0.3,97.8,-0.2,54.7,-0.2,13.0,0,5700,1190,0,0,0,79,68,80,68,5700,0,98,0,0,0,0,0,0,5700,10.8,254.8,244.1,0.750,0.0,32,54.7,-0.2,5700,324,300,0,0,0,0,0,0,5700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,3.740,2.835,1,4,31.1,0.400,1,0,23,1.059,29.20,75.7,57.6,0.52,2241,0.072,80.6,
24,5800,41.7,37.8,11.9,0.0,0.285,98,0,-0.2,5800,44.2,40.0,11.9,0.0,0.285,98,0,-0.2,5800,-0.2,-0.3,97.8,-0.2,54.7,-0.2,13.0,0,5800,1194,0,0,0,79,68,81,68,5800,0,98,0,0,0,0,0,0,5800,11.9,252.3,240.5,0.750,0.0,32,54.7,-0.2,5800,368,300,0,0,0,0,0,0,5800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,3.740,2.835,1,4,31.1,0.400,1,0,24,1.059,29.20,75.7,57.6,0.52,2241,0.072,80.6,
25,5900,39.7,35.4,12.0,0.0,0.303,97,0,-0.2,5900,42.1,37.5,12.0,0.0,0.303,97,0,-0.2,5900,-0.2,-0.3,98.0,-0.1,54.7,-0.2,13.0,0,5900,1199,0,0,0,79,68,81,68,5900,0,97,0,0,0,0,0,0,5900,12.0,249.0,237.0,0.750,0.0,33,54.7,-0.2,5900,281,300,0,0,0,0,0,0,5900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,3.740,2.835,1,4,31.1,0.400,1,0,25,1.059,29.20,75.7,57.6,0.52,2241,0.072,80.6,
26,6000,41.3,36.2,13.2,0.0,0.320,97,0,-0.2,6000,43.7,38.3,13.2,0.0,0.320,97,0,-0.2,6000,-0.2,-0.2,98.2,-0.1,54.7,-0.2,13.0,0,6000,1202,0,0,0,79,68,80,68,6000,0,97,0,0,0,0,0,0,6000,13.2,247.9,234.7,0.750,0.0,33,54.7,-0.2,6000,302,300,0,0,0,0,0,0,6000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,3.740,2.835,1,4,31.1,0.400,1,0,26,1.059,29.21,75.7,57.6,0.52,2238,0.072,80.6,
27,6100,43.6,37.5,14.5,0.0,0.332,97,0,-0.2,6100,46.2,39.7,14.5,0.0,0.332,97,0,-0.2,6100,-0.2,-0.2,98.2,-0.1,54.6,-0.2,13.0,0,6100,1205,0,0,0,79,68,80,68,6100,0,97,0,0,0,0,0,0,6100,14.5,246.9,232.4,0.750,0.0,33,54.6,-0.2,6100,332,300,0,0,0,0,0,0,6100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,3.740,2.835,1,4,31.1,0.400,1,0,27,1.059,29.21,75.7,57.7,0.52,2238,0.072,80.6,
