Line,EngSpd,EngPwr,EngTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,STPPwr,STPTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,Oil_P ,Man_P ,MAP   ,BoostP,FuelP1,FuelP2,Batt_V,------,EngSpd,Exh_1 ,Exh_2 ,Exh_3 ,Exh_4 ,Bear1T,Bear2T,Loss1T,LossT2,EngSpd,OilSmp,CoolOt,------,------,------,------,------,------,EngSpd,NetFlo,GasOut,GasIn ,FuelSG,Air_1s,DeltaT,FuelP1,FuelP2,EngSpd,Accel ,Rate  ,------,------,------,------,------,------,EngSpd,AFR_1 ,AFR_2 ,AFR_3 ,AFR_4 ,AFR_5 ,AFR_6 ,AFR_7 ,AFR_8 ,LineNo,EngBor,EngStr,EngCyl,EngCyc,Displ ,Inrtia,InrCor,------,LineNo,STPCor,Baro_P,AirInT,Humidy,Vap_P ,DenAlt,AirDen,WatGrn
no,RPM   ,Hp    ,lbs-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,CHp   ,Clb-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,0-150p,InHg  ,kPa   ,0-150p,0-150p,0-150p,vdc   ,------,RPM   ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,RPM   ,deg F ,deg F ,------,------,------,------,------,------,RPM   ,lbs/hr,lbs/hr,lbs/hr,lb/gal,SCFM  ,deg F ,0-150p,0-150p,RPM   ,RPM/s ,rpm   ,------,------,------,------,------,------,RPM   ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,      ,inches,inches,number,cycles,ci    ,factor,Yes/No,------,      ,Factor,InHga ,degF  ,%     ,InHg  ,Feet  ,lb/cft,grains
1,3600,15.8,23,4,0,0.254,127,0,0,3600,16.4,23.9,4,0,0.254,127,0,0,3600,0,-0.1,99.6,0,54.7,-0.2,13.1,0,3600,1163,0,0,0,75,67,76,67,3600,0,127,0,0,0,0,0,0,3600,4,247.4,243.4,0.75,0,26,54.7,-0.2,3600,-75,300,0,0,0,0,0,0,3600,0,0,0,0,0,0,0,0,1,3.74,2.835,1,4,31.1,0.4,1,0,1,1.037,29.51,70.5,46.9,0.35,1463,0.074,53.9
2,3700,22.5,31.9,7.6,0,0.337,127,0,0,3700,23.3,33.1,7.6,0,0.337,127,0,0,3700,0,0,99.8,0,54.6,-0.1,13.1,0,3700,1162,0,0,0,75,67,76,67,3700,0,127,0,0,0,0,0,0,3700,7.6,252.1,244.5,0.75,0,25,54.6,-0.1,3700,223,300,0,0,0,0,0,0,3700,0,0,0,0,0,0,0,0,2,3.74,2.835,1,4,31.1,0.4,1,0,2,1.037,29.51,70.5,46.9,0.35,1463,0.074,53.9
3,3800,24.8,34.2,7.3,0,0.293,127,0,-0.1,3800,25.7,35.5,7.3,0,0.293,127,0,-0.1,3800,-0.1,-0.1,99.7,0,54.7,-0.1,13.1,0,3800,1162,0,0,0,75,67,76,67,3800,0,127,0,0,0,0,0,0,3800,7.3,251.9,244.6,0.75,0,25,54.7,-0.1,3800,299,300,0,0,0,0,0,0,3800,0,0,0,0,0,0,0,0,3,3.74,2.835,1,4,31.1,0.4,1,0,3,1.037,29.51,70.5,46.9,0.35,1463,0.074,53.9
4,3900,26,35,6.7,0,0.259,127,0,-0.1,3900,26.9,36.3,6.7,0,0.259,127,0,-0.1,3900,-0.1,-0.1,99.7,0,54.7,-0.1,13.1,0,3900,1162,0,0,0,75,67,76,67,3900,0,127,0,0,0,0,0,0,3900,6.7,250.9,244.1,0.75,0,25,54.7,-0.1,3900,334,300,0,0,0,0,0,0,3900,0,0,0,0,0,0,0,0,4,3.74,2.835,1,4,31.1,0.4,1,0,4,1.037,29.51,70.5,46.9,0.35,1463,0.074,53.9
5,4000,27.6,36.2,7,0,0.255,127,0,-0.1,4000,28.6,37.5,7,0,0.255,127,0,-0.1,4000,-0.1,-0.1,99.6,0,54.7,-0.1,13.1,0,4000,1162,0,0,0,75,67,76,67,4000,0,127,0,0,0,0,0,0,4000,7,250.6,243.6,0.75,0,25,54.7,-0.1,4000,377,300,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,5,3.74,2.835,1,4,31.1,0.4,1,0,5,1.037,29.51,70.5,46.9,0.35,1463,0.074,53.9
6,4100,28.7,36.7,7.8,0,0.273,127,0,-0.1,4100,29.7,38.1,7.8,0,0.273,127,0,-0.1,4100,-0.1,-0.1,99.7,0,54.7,-0.1,13.1,0,4100,1162,0,0,0,75,67,76,67,4100,0,127,0,0,0,0,0,0,4100,7.8,250.7,242.9,0.75,0,25,54.7,-0.1,4100,391,300,0,0,0,0,0,0,4100,0,0,0,0,0,0,0,0,6,3.74,2.835,1,4,31.1,0.4,1,0,6,1.037,29.51,70.5,46.9,0.35,1463,0.074,53.9
7,4200,28.6,35.7,7.4,0,0.258,127,0,0,4200,29.6,37,7.4,0,0.258,127,0,0,4200,0,-0.1,99.7,0,54.7,-0.1,13.1,0,4200,1162,0,0,0,75,67,76,67,4200,0,127,0,0,0,0,0,0,4200,7.4,250,242.6,0.75,0,25,54.7,-0.1,4200,354,300,0,0,0,0,0,0,4200,0,0,0,0,0,0,0,0,7,3.74,2.835,1,4,31.1,0.4,1,0,7,1.037,29.51,70.5,46.9,0.35,1463,0.074,53.9
8,4300,27.3,33.3,5.7,0,0.21,127,0,0,4300,28.3,34.5,5.7,0,0.21,127,0,0,4300,0,-0.1,99.7,0,54.7,-0.1,13.1,0,4300,1163,0,0,0,75,67,76,67,4300,0,127,0,0,0,0,0,0,4300,5.7,248.8,243,0.75,0,26,54.7,-0.1,4300,281,300,0,0,0,0,0,0,4300,0,0,0,0,0,0,0,0,8,3.74,2.835,1,4,31.1,0.4,1,0,8,1.037,29.51,70.5,46.9,0.35,1463,0.074,53.9
9,4400,26.9,32.2,6.9,0,0.255,128,0,0,4400,27.9,33.3,6.9,0,0.255,128,0,0,4400,0,-0.1,99.7,0,54.7,-0.1,13.1,0,4400,1165,0,0,0,75,67,76,67,4400,0,128,0,0,0,0,0,0,4400,6.9,249.5,242.6,0.75,0,25,54.7,-0.1,4400,262,300,0,0,0,0,0,0,4400,0,0,0,0,0,0,0,0,9,3.74,2.835,1,4,31.1,0.4,1,0,9,1.037,29.51,70.5,46.9,0.35,1463,0.074,53.9
10,4500,28.1,32.8,9.8,0,0.349,128,0,0,4500,29.1,34,9.8,0,0.349,128,0,0,4500,0,-0.1,99.7,0,54.7,-0.1,13.1,0,4500,1168,0,0,0,75,67,76,67,4500,0,128,0,0,0,0,0,0,4500,9.8,251,241.2,0.75,0,25,54.7,-0.1,4500,298,300,0,0,0,0,0,0,4500,0,0,0,0,0,0,0,0,10,3.74,2.835,1,4,31.1,0.4,1,0,10,1.037,29.51,70.5,46.9,0.35,1463,0.074,53.9
11,4600,29.4,33.6,10,0,0.34,128,0,0,4600,30.5,34.8,10,0,0.34,128,0,0,4600,0,-0.1,99.7,0,54.7,-0.1,13.1,0,4600,1170,0,0,0,75,67,76,67,4600,0,128,0,0,0,0,0,0,4600,10,250.9,240.9,0.75,0,25,54.7,-0.1,4600,331,300,0,0,0,0,0,0,4600,0,0,0,0,0,0,0,0,11,3.74,2.835,1,4,31.1,0.4,1,0,11,1.037,29.51,70.5,46.9,0.35,1463,0.074,53.9
