Line,EngSpd,EngPwr,EngTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,STPPwr,STPTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,Oil_P ,Man_P ,MAP   ,BoostP,FuelP1,FuelP2,Batt_V,------,EngSpd,Exh_1 ,Exh_2 ,Exh_3 ,Exh_4 ,Bear1T,Bear2T,Loss1T,LossT2,EngSpd,OilSmp,CoolOt,------,------,------,------,------,------,EngSpd,NetFlo,GasOut,GasIn ,FuelSG,Air_1s,DeltaT,FuelP1,FuelP2,EngSpd,Accel ,Rate  ,------,------,------,------,------,------,EngSpd,AFR_1 ,AFR_2 ,AFR_3 ,AFR_4 ,AFR_5 ,AFR_6 ,AFR_7 ,AFR_8 ,LineNo,EngBor,EngStr,EngCyl,EngCyc,Displ ,Inrtia,InrCor,------,LineNo,STPCor,Baro_P,AirInT,Humidy,Vap_P ,DenAlt,AirDen,WatGrn,
no,RPM   ,Hp    ,lbs-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,CHp   ,Clb-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,0-150p,InHg  ,kPa   ,0-150p,0-150p,0-150p,vdc   ,------,RPM   ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,RPM   ,deg F ,deg F ,------,------,------,------,------,------,RPM   ,lbs/hr,lbs/hr,lbs/hr,lb/gal,SCFM  ,deg F ,0-150p,0-150p,RPM   ,RPM/s ,rpm   ,------,------,------,------,------,------,RPM   ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,      ,inches,inches,number,cycles,ci    ,factor,Yes/No,------,      ,Factor,InHga ,degF  ,%     ,InHg  ,Feet  ,lb/cft,grains,
1,3700,22.0,31.2,8.1,0.0,0.368,86,0,0.0,3700,23.1,32.8,8.1,0.0,0.368,86,0,0.0,3700,0.0,0.2,100.8,0.1,54.9,0.0,13.2,0,3700,1212,0,0,0,78,64,83,68,3700,0,86,0,0,0,0,0,0,3700,8.1,281.4,273.3,0.750,0.0,36,54.9,0.0,3700,175,300,0,0,0,0,0,0,3700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.740,2.835,1,4,31.1,0.400,1,0,1,1.050,29.60,78.1,62.1,0.61,1968,0.073,92.5,
2,3800,24.4,33.7,5.9,0.0,0.244,86,0,0.0,3800,25.6,35.3,5.9,0.0,0.244,86,0,0.0,3800,0.0,0.1,100.7,0.1,54.9,0.0,13.2,0,3800,1214,0,0,0,78,64,83,68,3800,0,86,0,0,0,0,0,0,3800,5.9,279.7,273.7,0.750,0.0,36,54.9,0.0,3800,267,300,0,0,0,0,0,0,3800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.740,2.835,1,4,31.1,0.400,1,0,2,1.050,29.60,78.1,62.1,0.61,1968,0.073,92.5,
3,3900,25.1,33.8,5.0,0.0,0.201,86,0,0.0,3900,26.4,35.5,5.0,0.0,0.201,86,0,0.0,3900,0.0,0.1,100.6,0.0,54.8,0.0,13.2,0,3900,1214,0,0,0,78,64,83,68,3900,0,86,0,0,0,0,0,0,3900,5.0,277.7,272.7,0.750,0.0,35,54.8,0.0,3900,291,300,0,0,0,0,0,0,3900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.740,2.835,1,4,31.1,0.400,1,0,3,1.050,29.60,78.1,62.1,0.61,1968,0.073,92.5,
4,4000,26.1,34.3,6.3,0.0,0.242,86,0,0.0,4000,27.4,36.0,6.3,0.0,0.242,86,0,0.0,4000,0.0,0.1,100.7,0.1,54.8,0.0,13.2,0,4000,1214,0,0,0,78,65,83,68,4000,0,86,0,0,0,0,0,0,4000,6.3,278.2,271.9,0.750,0.0,36,54.8,0.0,4000,325,300,0,0,0,0,0,0,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3.740,2.835,1,4,31.1,0.400,1,0,4,1.050,29.60,78.1,62.1,0.61,1968,0.073,92.5,
5,4100,27.0,34.6,7.9,0.0,0.291,86,0,0.0,4100,28.4,36.4,7.9,0.0,0.291,86,0,0.0,4100,0.0,0.2,100.8,0.1,54.8,0.0,13.2,0,4100,1212,0,0,0,78,65,82,68,4100,0,86,0,0,0,0,0,0,4100,7.9,279.3,271.5,0.750,0.0,36,54.8,0.0,4100,345,300,0,0,0,0,0,0,4100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3.740,2.835,1,4,31.1,0.400,1,0,5,1.050,29.60,78.1,62.1,0.61,1968,0.073,92.5,
6,4200,26.8,33.5,9.4,0.0,0.351,86,0,0.0,4200,28.1,35.1,9.4,0.0,0.351,86,0,0.0,4200,0.0,0.2,100.9,0.1,54.8,0.0,13.2,0,4200,1210,0,0,0,78,65,82,68,4200,0,86,0,0,0,0,0,0,4200,9.4,280.0,270.6,0.750,0.0,36,54.8,0.0,4200,313,300,0,0,0,0,0,0,4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3.740,2.835,1,4,31.1,0.400,1,0,6,1.050,29.60,78.1,62.1,0.61,1968,0.073,92.5,
7,4300,26.0,31.8,7.9,0.0,0.303,85,0,0.0,4300,27.3,33.3,7.9,0.0,0.303,85,0,0.0,4300,0.0,0.3,101.1,0.1,54.8,0.0,13.2,0,4300,1207,0,0,0,78,65,82,68,4300,0,85,0,0,0,0,0,0,4300,7.9,278.4,270.5,0.750,0.0,36,54.8,0.0,4300,271,300,0,0,0,0,0,0,4300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3.740,2.835,1,4,31.1,0.400,1,0,7,1.050,29.60,78.1,62.1,0.61,1969,0.073,92.5,
8,4400,26.5,31.7,6.3,0.0,0.237,85,0,0.0,4400,27.9,33.3,6.3,0.0,0.237,85,0,0.0,4400,0.0,0.3,101.2,0.1,54.8,0.0,13.2,0,4400,1205,0,0,0,78,65,82,68,4400,0,85,0,0,0,0,0,0,4400,6.3,276.8,270.5,0.750,0.0,37,54.8,0.0,4400,284,300,0,0,0,0,0,0,4400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3.740,2.835,1,4,31.1,0.400,1,0,8,1.050,29.60,78.1,62.1,0.61,1968,0.073,92.5,
9,4500,27.4,31.9,7.7,0.0,0.283,85,0,0.0,4500,28.7,33.5,7.7,0.0,0.283,85,0,0.0,4500,0.0,0.3,101.1,0.1,54.8,0.0,13.2,0,4500,1202,0,0,0,78,65,82,68,4500,0,85,0,0,0,0,0,0,4500,7.7,278.1,270.4,0.750,0.0,37,54.8,0.0,4500,305,300,0,0,0,0,0,0,4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,3.740,2.835,1,4,31.1,0.400,1,0,9,1.050,29.60,78.1,62.1,0.61,1968,0.073,92.5,
10,4600,29.0,33.1,7.2,0.0,0.250,85,0,0.0,4600,30.4,34.7,7.2,0.0,0.250,85,0,0.0,4600,0.0,0.2,100.9,0.1,54.8,0.0,13.2,0,4600,1200,0,0,0,78,65,83,68,4600,0,85,0,0,0,0,0,0,4600,7.2,279.0,271.8,0.750,0.0,37,54.8,0.0,4600,348,300,0,0,0,0,0,0,4600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,3.740,2.835,1,4,31.1,0.400,1,0,10,1.050,29.60,78.1,62.1,0.61,1969,0.073,92.5,
11,4700,31.1,34.8,7.3,0.0,0.236,85,0,0.0,4700,32.7,36.5,7.3,0.0,0.236,85,0,0.0,4700,0.0,0.2,100.9,0.1,54.8,0.0,13.2,0,4700,1199,0,0,0,78,65,83,68,4700,0,85,0,0,0,0,0,0,4700,7.3,279.6,272.2,0.750,0.0,37,54.8,0.0,4700,402,300,0,0,0,0,0,0,4700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,3.740,2.835,1,4,31.1,0.400,1,0,11,1.050,29.60,78.1,62.1,0.61,1969,0.073,92.5,
12,4800,32.7,35.8,8.0,0.0,0.244,85,0,0.0,4800,34.4,37.6,8.0,0.0,0.244,85,0,0.0,4800,0.0,0.2,100.9,0.1,54.8,0.0,13.2,0,4800,1198,0,0,0,78,65,83,68,4800,0,85,0,0,0,0,0,0,4800,8.0,279.9,271.9,0.750,0.0,37,54.8,0.0,4800,425,300,0,0,0,0,0,0,4800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,3.740,2.835,1,4,31.1,0.400,1,0,12,1.050,29.60,78.1,62.1,0.61,1969,0.073,92.5,
