Line,EngSpd,EngPwr,EngTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,STPPwr,STPTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,Oil_P ,Man_P ,MAP   ,BoostP,FuelP1,FuelP2,Batt_V,------,EngSpd,Exh_1 ,Exh_2 ,Exh_3 ,Exh_4 ,Bear1T,Bear2T,Loss1T,LossT2,EngSpd,OilSmp,CoolOt,------,------,------,------,------,------,EngSpd,NetFlo,GasOut,GasIn ,FuelSG,Air_1s,DeltaT,FuelP1,FuelP2,EngSpd,Accel ,Rate  ,------,------,------,------,------,------,EngSpd,AFR_1 ,AFR_2 ,AFR_3 ,AFR_4 ,AFR_5 ,AFR_6 ,AFR_7 ,AFR_8 ,LineNo,EngBor,EngStr,EngCyl,EngCyc,Displ ,Inrtia,InrCor,------,LineNo,STPCor,Baro_P,AirInT,Humidy,Vap_P ,DenAlt,AirDen,WatGrn,
no,RPM   ,Hp    ,lbs-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,CHp   ,Clb-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,0-150p,InHg  ,kPa   ,0-150p,0-150p,0-150p,vdc   ,------,RPM   ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,RPM   ,deg F ,deg F ,------,------,------,------,------,------,RPM   ,lbs/hr,lbs/hr,lbs/hr,lb/gal,SCFM  ,deg F ,0-150p,0-150p,RPM   ,RPM/s ,rpm   ,------,------,------,------,------,------,RPM   ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,      ,inches,inches,number,cycles,ci    ,factor,Yes/No,------,      ,Factor,InHga ,degF  ,%     ,InHg  ,Feet  ,lb/cft,grains,
1,3700,21.4,30.4,9.4,0.0,0.441,86,0,-0.2,3700,22.4,31.9,9.4,0.0,0.441,86,0,-0.2,3700,-0.2,-0.1,98.6,-0.1,54.6,-0.1,13.2,0,3700,1148,0,0,0,78,65,82,68,3700,0,86,0,0,0,0,0,0,3700,9.4,267.4,257.9,0.750,0.0,32,54.6,-0.1,3700,171,300,0,0,0,0,0,0,3700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.740,2.835,1,4,31.1,0.400,1,0,1,1.049,29.23,74.8,33.5,0.29,2048,0.072,45.5,
2,3800,22.7,31.4,8.1,0.0,0.356,86,0,-0.2,3800,23.8,32.9,8.1,0.0,0.356,86,0,-0.2,3800,-0.2,-0.1,98.7,0.0,54.7,-0.1,13.2,0,3800,1149,0,0,0,78,65,82,68,3800,0,86,0,0,0,0,0,0,3800,8.1,269.2,261.1,0.750,0.0,32,54.7,-0.1,3800,208,300,0,0,0,0,0,0,3800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.740,2.835,1,4,31.1,0.400,1,0,2,1.048,29.24,74.8,33.5,0.29,2045,0.072,45.5,
3,3900,24.4,32.9,7.2,0.0,0.294,86,0,-0.2,3900,25.6,34.5,7.2,0.0,0.294,86,0,-0.2,3900,-0.2,-0.1,98.6,-0.1,54.7,-0.1,13.2,0,3900,1150,0,0,0,78,65,81,68,3900,0,86,0,0,0,0,0,0,3900,7.2,270.2,263.0,0.750,0.0,32,54.7,-0.1,3900,274,300,0,0,0,0,0,0,3900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.740,2.835,1,4,31.1,0.400,1,0,3,1.048,29.24,74.8,33.5,0.29,2044,0.072,45.4,
4,4000,27.2,35.8,7.5,0.0,0.277,87,0,-0.2,4000,28.6,37.5,7.5,0.0,0.277,87,0,-0.2,4000,-0.2,-0.1,98.5,-0.1,54.7,-0.1,13.2,0,4000,1150,0,0,0,78,65,82,68,4000,0,87,0,0,0,0,0,0,4000,7.5,270.5,262.9,0.750,0.0,32,54.7,-0.1,4000,371,300,0,0,0,0,0,0,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3.740,2.835,1,4,31.1,0.400,1,0,4,1.048,29.24,74.8,33.5,0.29,2044,0.072,45.4,
5,4100,29.3,37.5,8.5,0.0,0.291,87,0,-0.2,4100,30.7,39.3,8.5,0.0,0.291,87,0,-0.2,4100,-0.2,-0.2,98.5,-0.1,54.7,-0.2,13.2,0,4100,1150,0,0,0,78,65,82,68,4100,0,87,0,0,0,0,0,0,4100,8.5,270.3,261.8,0.750,0.0,32,54.7,-0.2,4100,426,300,0,0,0,0,0,0,4100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3.740,2.835,1,4,31.1,0.400,1,0,5,1.048,29.24,74.8,33.5,0.29,2044,0.072,45.4,
6,4200,30.1,37.6,10.0,0.0,0.334,87,0,-0.2,4200,31.5,39.4,10.0,0.0,0.334,87,0,-0.2,4200,-0.2,-0.2,98.4,-0.1,54.7,-0.2,13.2,0,4200,1150,0,0,0,78,66,82,68,4200,0,87,0,0,0,0,0,0,4200,10.0,270.8,260.7,0.750,0.0,32,54.7,-0.2,4200,429,300,0,0,0,0,0,0,4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3.740,2.835,1,4,31.1,0.400,1,0,6,1.048,29.24,74.8,33.5,0.29,2044,0.072,45.4,
7,4300,28.7,35.1,10.6,0.0,0.369,87,0,-0.2,4300,30.1,36.8,10.6,0.0,0.369,87,0,-0.2,4300,-0.2,-0.2,98.4,-0.1,54.7,-0.2,13.2,0,4300,1150,0,0,0,77,66,82,68,4300,0,87,0,0,0,0,0,0,4300,10.6,269.8,259.2,0.750,0.0,32,54.7,-0.2,4300,346,300,0,0,0,0,0,0,4300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3.740,2.835,1,4,31.1,0.400,1,0,7,1.048,29.24,74.8,33.5,0.29,2044,0.072,45.4,
8,4400,27.5,32.8,9.7,0.0,0.352,87,0,-0.2,4400,28.8,34.4,9.7,0.0,0.352,87,0,-0.2,4400,-0.2,-0.2,98.4,-0.1,54.7,-0.2,13.2,0,4400,1152,0,0,0,77,66,82,68,4400,0,87,0,0,0,0,0,0,4400,9.7,269.6,259.9,0.750,0.0,33,54.7,-0.2,4400,282,300,0,0,0,0,0,0,4400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3.740,2.835,1,4,31.1,0.400,1,0,8,1.048,29.24,74.8,33.5,0.29,2044,0.072,45.4,
9,4500,28.4,33.1,9.5,0.0,0.335,87,0,-0.2,4500,29.7,34.7,9.5,0.0,0.335,87,0,-0.2,4500,-0.2,-0.2,98.3,-0.1,54.7,-0.2,13.2,0,4500,1155,0,0,0,77,66,81,68,4500,0,87,0,0,0,0,0,0,4500,9.5,270.0,260.5,0.750,0.0,33,54.7,-0.2,4500,298,300,0,0,0,0,0,0,4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,3.740,2.835,1,4,31.1,0.400,1,0,9,1.048,29.24,74.8,33.5,0.29,2044,0.072,45.4,
