Line,EngSpd,EngPwr,EngTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,STPPwr,STPTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,Oil_P ,Man_P ,MAP   ,BoostP,FuelP1,FuelP2,Batt_V,------,EngSpd,Exh_1 ,Exh_2 ,Exh_3 ,Exh_4 ,Bear1T,Bear2T,Loss1T,LossT2,EngSpd,OilSmp,CoolOt,------,------,------,------,------,------,EngSpd,NetFlo,GasOut,GasIn ,FuelSG,Air_1s,DeltaT,FuelP1,FuelP2,EngSpd,Accel ,Rate  ,------,------,------,------,------,------,EngSpd,AFR_1 ,AFR_2 ,AFR_3 ,AFR_4 ,AFR_5 ,AFR_6 ,AFR_7 ,AFR_8 ,LineNo,EngBor,EngStr,EngCyl,EngCyc,Displ ,Inrtia,InrCor,------,LineNo,STPCor,Baro_P,AirInT,Humidy,Vap_P ,DenAlt,AirDen,WatGrn,
no,RPM   ,Hp    ,lbs-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,CHp   ,Clb-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,0-150p,InHg  ,kPa   ,0-150p,0-150p,0-150p,vdc   ,------,RPM   ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,RPM   ,deg F ,deg F ,------,------,------,------,------,------,RPM   ,lbs/hr,lbs/hr,lbs/hr,lb/gal,SCFM  ,deg F ,0-150p,0-150p,RPM   ,RPM/s ,rpm   ,------,------,------,------,------,------,RPM   ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,      ,inches,inches,number,cycles,ci    ,factor,Yes/No,------,      ,Factor,InHga ,degF  ,%     ,InHg  ,Feet  ,lb/cft,grains,
1,3500,19.4,29.1,6.8,0.0,0.351,97,0,-0.3,3500,20.6,30.9,6.8,0.0,0.351,97,0,-0.3,3500,-0.3,-0.5,97.2,-0.2,54.5,-0.3,13.1,0,3500,0,0,0,0,81,70,82,72,3500,0,97,0,0,0,0,0,0,3500,6.8,230.1,223.3,0.750,0.0,46,54.5,-0.3,3500,121,300,0,0,0,0,0,0,3500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.740,2.835,1,4,31.1,0.400,1,0,1,1.062,29.18,76.1,63.7,0.58,2318,0.072,90.4,
2,3600,23.0,33.5,7.8,0.0,0.338,97,0,-0.3,3600,24.4,35.6,7.8,0.0,0.338,97,0,-0.3,3600,-0.3,-0.4,97.3,-0.2,54.5,-0.3,13.1,0,3600,0,0,0,0,81,70,82,72,3600,0,97,0,0,0,0,0,0,3600,7.8,231.6,223.8,0.750,0.0,46,54.5,-0.3,3600,269,300,0,0,0,0,0,0,3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.740,2.835,1,4,31.1,0.400,1,0,2,1.062,29.18,76.1,63.7,0.58,2318,0.072,90.4,
3,3700,24.6,34.9,8.3,0.0,0.337,96,0,-0.3,3700,26.1,37.1,8.3,0.0,0.337,96,0,-0.3,3700,-0.3,-0.5,97.3,-0.2,54.5,-0.4,13.1,0,3700,0,0,0,0,81,70,82,71,3700,0,96,0,0,0,0,0,0,3700,8.3,232.4,224.2,0.750,0.0,47,54.5,-0.4,3700,312,300,0,0,0,0,0,0,3700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.740,2.835,1,4,31.1,0.400,1,0,3,1.062,29.18,76.1,63.7,0.58,2318,0.072,90.4,
4,3800,24.6,34.0,8.4,0.0,0.341,96,0,-0.3,3800,26.2,36.1,8.4,0.0,0.341,96,0,-0.3,3800,-0.3,-0.5,97.1,-0.3,54.5,-0.4,13.1,0,3800,0,0,0,0,80,70,82,71,3800,0,96,0,0,0,0,0,0,3800,8.4,232.8,224.4,0.750,0.0,48,54.5,-0.4,3800,291,300,0,0,0,0,0,0,3800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3.740,2.835,1,4,31.1,0.400,1,0,4,1.062,29.18,76.1,63.7,0.58,2318,0.072,90.4,
5,3900,25.0,33.7,7.4,0.0,0.297,96,0,-0.3,3900,26.6,35.8,7.4,0.0,0.297,96,0,-0.3,3900,-0.3,-0.6,97.0,-0.3,54.5,-0.3,13.1,0,3900,0,0,0,0,80,70,82,71,3900,0,96,0,0,0,0,0,0,3900,7.4,233.4,226.0,0.750,0.0,48,54.5,-0.3,3900,292,300,0,0,0,0,0,0,3900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3.740,2.835,1,4,31.1,0.400,1,0,5,1.062,29.18,76.1,63.8,0.58,2318,0.072,90.5,
6,4000,26.8,35.2,7.4,0.0,0.275,96,0,-0.3,4000,28.5,37.4,7.4,0.0,0.275,96,0,-0.3,4000,-0.3,-0.6,97.0,-0.3,54.6,-0.3,13.1,0,4000,0,0,0,0,80,70,82,71,4000,0,96,0,0,0,0,0,0,4000,7.4,234.0,226.7,0.750,0.0,47,54.6,-0.3,4000,347,300,0,0,0,0,0,0,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3.740,2.835,1,4,31.1,0.400,1,0,6,1.062,29.18,76.1,63.8,0.58,2318,0.072,90.5,
7,4100,29.0,37.2,7.6,0.0,0.261,96,0,-0.3,4100,30.8,39.5,7.6,0.0,0.261,96,0,-0.3,4100,-0.3,-0.6,97.0,-0.3,54.6,-0.3,13.1,0,4100,0,0,0,0,80,70,82,71,4100,0,96,0,0,0,0,0,0,4100,7.6,234.3,226.7,0.750,0.0,47,54.6,-0.3,4100,405,300,0,0,0,0,0,0,4100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3.740,2.835,1,4,31.1,0.400,1,0,7,1.062,29.18,76.1,63.8,0.58,2318,0.072,90.5,
8,4200,30.3,37.9,7.6,0.0,0.252,96,0,-0.3,4200,32.2,40.2,7.6,0.0,0.252,96,0,-0.3,4200,-0.3,-0.5,97.0,-0.3,54.6,-0.3,13.1,0,4200,0,0,0,0,80,70,82,71,4200,0,96,0,0,0,0,0,0,4200,7.6,233.9,226.3,0.750,0.0,48,54.6,-0.3,4200,418,300,0,0,0,0,0,0,4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3.740,2.835,1,4,31.1,0.400,1,0,8,1.062,29.18,76.1,63.8,0.58,2318,0.072,90.5,
9,4300,30.1,36.8,7.7,0.0,0.256,96,0,-0.3,4300,32.0,39.0,7.7,0.0,0.256,96,0,-0.3,4300,-0.3,-0.5,97.1,-0.3,54.6,-0.3,13.1,0,4300,0,0,0,0,80,70,82,71,4300,0,96,0,0,0,0,0,0,4300,7.7,233.3,225.6,0.750,0.0,48,54.6,-0.3,4300,375,300,0,0,0,0,0,0,4300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,3.740,2.835,1,4,31.1,0.400,1,0,9,1.062,29.18,76.1,63.8,0.59,2318,0.072,90.5,
10,4400,27.5,32.8,7.9,0.0,0.288,95,0,-0.3,4400,29.2,34.8,7.9,0.0,0.288,95,0,-0.3,4400,-0.3,-0.5,97.2,-0.2,54.5,-0.3,13.1,0,4400,0,0,0,0,80,70,82,71,4400,0,95,0,0,0,0,0,0,4400,7.9,232.1,224.2,0.750,0.0,49,54.5,-0.3,4400,256,300,0,0,0,0,0,0,4400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,3.740,2.835,1,4,31.1,0.400,1,0,10,1.062,29.18,76.1,63.8,0.59,2318,0.072,90.5,
11,4500,27.4,32.0,7.3,0.0,0.265,95,0,-0.3,4500,29.1,34.0,7.3,0.0,0.265,95,0,-0.3,4500,-0.3,-0.5,97.3,-0.2,54.5,-0.3,13.1,0,4500,0,0,0,0,80,70,82,72,4500,0,95,0,0,0,0,0,0,4500,7.3,230.5,223.2,0.750,0.0,49,54.5,-0.3,4500,254,300,0,0,0,0,0,0,4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,3.740,2.835,1,4,31.1,0.400,1,0,11,1.062,29.18,76.1,63.8,0.59,2318,0.072,90.5,
12,4600,28.5,32.5,5.8,0.0,0.202,95,0,-0.3,4600,30.2,34.5,5.8,0.0,0.202,95,0,-0.3,4600,-0.3,-0.5,97.2,-0.2,54.5,-0.3,13.1,0,4600,0,0,0,0,80,70,82,72,4600,0,95,0,0,0,0,0,0,4600,5.8,229.3,223.5,0.750,0.0,49,54.5,-0.3,4600,289,300,0,0,0,0,0,0,4600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,3.740,2.835,1,4,31.1,0.400,1,0,12,1.062,29.18,76.1,63.8,0.59,2318,0.072,90.5,
13,4700,29.6,33.1,5.8,0.0,0.197,95,0,-0.3,4700,31.5,35.2,5.8,0.0,0.197,95,0,-0.3,4700,-0.3,-0.5,97.1,-0.3,54.5,-0.3,13.1,0,4700,0,0,0,0,80,70,82,72,4700,0,95,0,0,0,0,0,0,4700,5.8,229.7,223.9,0.750,0.0,50,54.5,-0.3,4700,323,300,0,0,0,0,0,0,4700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,3.740,2.835,1,4,31.1,0.400,1,0,13,1.062,29.18,76.1,63.8,0.59,2318,0.072,90.5,
14,4800,30.5,33.3,6.5,0.0,0.215,95,0,-0.3,4800,32.4,35.4,6.5,0.0,0.215,95,0,-0.3,4800,-0.3,-0.6,97.0,-0.3,54.5,-0.3,13.1,0,4800,0,0,0,0,80,70,82,72,4800,0,95,0,0,0,0,0,0,4800,6.5,229.0,222.4,0.750,0.0,50,54.5,-0.3,4800,340,300,0,0,0,0,0,0,4800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,3.740,2.835,1,4,31.1,0.400,1,0,14,1.062,29.18,76.1,63.8,0.59,2318,0.072,90.5,
15,4900,31.6,33.9,5.7,0.0,0.181,95,0,-0.3,4900,33.6,36.0,5.7,0.0,0.181,95,0,-0.3,4900,-0.3,-0.6,96.8,-0.3,54.5,-0.3,13.1,0,4900,0,0,0,0,80,70,82,72,4900,0,95,0,0,0,0,0,0,4900,5.7,226.9,221.2,0.750,0.0,50,54.5,-0.3,4900,362,300,0,0,0,0,0,0,4900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,3.740,2.835,1,4,31.1,0.400,1,0,15,1.062,29.18,76.1,63.8,0.59,2318,0.072,90.5,
16,5000,32.3,33.9,5.5,0.0,0.171,95,0,-0.3,5000,34.3,36.1,5.5,0.0,0.171,95,0,-0.3,5000,-0.3,-0.6,96.7,-0.3,54.5,-0.3,13.1,0,5000,0,0,0,0,80,70,82,72,5000,0,95,0,0,0,0,0,0,5000,5.5,226.3,220.7,0.750,0.0,50,54.5,-0.3,5000,364,300,0,0,0,0,0,0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,3.740,2.835,1,4,31.1,0.400,1,0,16,1.062,29.18,76.1,63.8,0.59,2318,0.072,90.5,
17,5100,32.9,33.9,6.8,0.0,0.206,95,0,-0.3,5100,35.0,36.0,6.8,0.0,0.206,95,0,-0.3,5100,-0.3,-0.6,96.8,-0.3,54.5,-0.3,13.1,0,5100,0,0,0,0,80,70,82,72,5100,0,95,0,0,0,0,0,0,5100,6.8,228.3,221.5,0.750,0.0,50,54.5,-0.3,5100,355,300,0,0,0,0,0,0,5100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,3.740,2.835,1,4,31.1,0.400,1,0,17,1.062,29.18,76.1,63.8,0.59,2318,0.072,90.5,
18,5200,33.0,33.3,9.3,0.0,0.282,96,0,-0.3,5200,35.0,35.4,9.3,0.0,0.282,96,0,-0.3,5200,-0.3,-0.6,97.0,-0.3,54.5,-0.3,13.1,0,5200,0,0,0,0,80,70,82,72,5200,0,96,0,0,0,0,0,0,5200,9.3,230.6,221.3,0.750,0.0,50,54.5,-0.3,5200,328,300,0,0,0,0,0,0,5200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,3.740,2.835,1,4,31.1,0.400,1,0,18,1.062,29.18,76.1,63.8,0.59,2318,0.072,90.5,
19,5300,34.7,34.4,9.8,0.0,0.283,96,0,-0.3,5300,36.9,36.5,9.8,0.0,0.283,96,0,-0.3,5300,-0.3,-0.5,97.2,-0.2,54.5,-0.3,13.1,0,5300,0,0,0,0,80,70,82,72,5300,0,96,0,0,0,0,0,0,5300,9.8,230.5,220.7,0.750,0.0,50,54.5,-0.3,5300,346,300,0,0,0,0,0,0,5300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,3.740,2.835,1,4,31.1,0.400,1,0,19,1.062,29.18,76.1,63.8,0.59,2318,0.072,90.5,
20,5400,36.2,35.2,9.3,0.0,0.257,96,0,-0.3,5400,38.5,37.4,9.3,0.0,0.257,96,0,-0.3,5400,-0.3,-0.5,97.2,-0.2,54.5,-0.3,13.1,0,5400,0,0,0,0,80,70,82,72,5400,0,96,0,0,0,0,0,0,5400,9.3,229.6,220.3,0.750,0.0,49,54.5,-0.3,5400,351,300,0,0,0,0,0,0,5400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,3.740,2.835,1,4,31.1,0.400,1,0,20,1.062,29.18,76.1,63.8,0.59,2318,0.072,90.5,
21,5500,36.6,34.9,10.1,0.0,0.275,97,0,-0.3,5500,38.8,37.1,10.1,0.0,0.275,97,0,-0.3,5500,-0.3,-0.5,97.2,-0.2,54.5,-0.3,13.1,0,5500,0,0,0,0,80,70,82,72,5500,0,97,0,0,0,0,0,0,5500,10.1,230.1,220.1,0.750,0.0,49,54.5,-0.3,5500,313,300,0,0,0,0,0,0,5500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,3.740,2.835,1,4,31.1,0.400,1,0,21,1.062,29.18,76.1,63.8,0.59,2318,0.072,90.5,
