Line,EngSpd,EngPwr,EngTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,STPPwr,STPTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,Oil_P ,Man_P ,MAP   ,BoostP,FuelP1,FuelP2,Batt_V,------,EngSpd,Exh_1 ,Exh_2 ,Exh_3 ,Exh_4 ,Bear1T,Bear2T,Loss1T,LossT2,EngSpd,OilSmp,CoolOt,------,------,------,------,------,------,EngSpd,NetFlo,GasOut,GasIn ,FuelSG,Air_1s,DeltaT,FuelP1,FuelP2,EngSpd,Accel ,Rate  ,------,------,------,------,------,------,EngSpd,AFR_1 ,AFR_2 ,AFR_3 ,AFR_4 ,AFR_5 ,AFR_6 ,AFR_7 ,AFR_8 ,LineNo,EngBor,EngStr,EngCyl,EngCyc,Displ ,Inrtia,InrCor,------,LineNo,STPCor,Baro_P,AirInT,Humidy,Vap_P ,DenAlt,AirDen,WatGrn
no,RPM   ,Hp    ,lbs-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,CHp   ,Clb-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,0-150p,InHg  ,kPa   ,0-150p,0-150p,0-150p,vdc   ,------,RPM   ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,RPM   ,deg F ,deg F ,------,------,------,------,------,------,RPM   ,lbs/hr,lbs/hr,lbs/hr,lb/gal,SCFM  ,deg F ,0-150p,0-150p,RPM   ,RPM/s ,rpm   ,------,------,------,------,------,------,RPM   ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,      ,inches,inches,number,cycles,ci    ,factor,Yes/No,------,      ,Factor,InHga ,degF  ,%     ,InHg  ,Feet  ,lb/cft,grains
1,3700,22.3,31.6,6.5,0,0.291,95,0,-0.2,3700,23.4,33.3,6.5,0,0.291,95,0,-0.2,3700,-0.2,-0.3,98.7,-0.1,54.5,-0.2,13.1,0,3700,0,0,0,0,80,69,82,69,3700,0,95,0,0,0,0,0,0,3700,6.5,240.8,234.3,0.75,0,69,54.5,-0.2,3700,223,300,0,0,0,0,0,0,3700,0,0,0,0,0,0,0,0,1,3.74,2.835,1,4,31.1,0.4,1,0,1,1.052,29.42,76.7,55.9,0.52,2052,0.073,80.2
2,3800,25.1,34.7,6,0,0.24,95,0,-0.2,3800,26.4,36.5,6,0,0.24,95,0,-0.2,3800,-0.2,-0.3,98.7,-0.1,54.5,-0.2,13.1,0,3800,0,0,0,0,80,69,82,69,3800,0,95,0,0,0,0,0,0,3800,6,242.2,236.2,0.75,0,70,54.5,-0.2,3800,328,300,0,0,0,0,0,0,3800,0,0,0,0,0,0,0,0,2,3.74,2.835,1,4,31.1,0.4,1,0,2,1.052,29.42,76.8,55.9,0.52,2053,0.073,80.3
3,3900,27,36.4,5.3,0,0.197,95,0,-0.2,3900,28.4,38.2,5.3,0,0.197,95,0,-0.2,3900,-0.2,-0.3,98.7,-0.1,54.5,-0.2,13.1,0,3900,0,0,0,0,80,69,82,69,3900,0,95,0,0,0,0,0,0,3900,5.3,243.4,238,0.75,0,70,54.5,-0.2,3900,377,300,0,0,0,0,0,0,3900,0,0,0,0,0,0,0,0,3,3.74,2.835,1,4,31.1,0.4,1,0,3,1.052,29.42,76.8,55.9,0.52,2053,0.073,80.3
4,4000,27.6,36.2,5.2,0,0.187,95,0,-0.2,4000,29,38.1,5.2,0,0.187,95,0,-0.2,4000,-0.2,-0.3,98.8,-0.1,54.5,-0.3,13.1,0,4000,0,0,0,0,81,69,82,69,4000,0,95,0,0,0,0,0,0,4000,5.2,244.4,239.2,0.75,0,70,54.5,-0.3,4000,367,300,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,4,3.74,2.835,1,4,31.1,0.4,1,0,4,1.052,29.42,76.8,55.9,0.52,2053,0.073,80.3
5,4100,26.3,33.6,7.3,0,0.28,96,0,-0.2,4100,27.6,35.4,7.3,0,0.28,96,0,-0.2,4100,-0.2,-0.2,98.8,-0.1,54.5,-0.3,13.1,0,4100,0,0,0,0,80,68,82,69,4100,0,96,0,0,0,0,0,0,4100,7.3,245.5,238.2,0.75,0,70,54.5,-0.3,4100,282,300,0,0,0,0,0,0,4100,0,0,0,0,0,0,0,0,5,3.74,2.835,1,4,31.1,0.4,1,0,5,1.052,29.42,76.8,55.9,0.52,2054,0.073,80.3
6,4200,26.3,32.9,8.6,0,0.325,96,0,-0.2,4200,27.7,34.6,8.6,0,0.325,96,0,-0.2,4200,-0.2,-0.2,98.8,-0.1,54.5,-0.3,13.1,0,4200,0,0,0,0,80,68,82,69,4200,0,96,0,0,0,0,0,0,4200,8.6,245.2,236.7,0.75,0,70,54.5,-0.3,4200,273,300,0,0,0,0,0,0,4200,0,0,0,0,0,0,0,0,6,3.74,2.835,1,4,31.1,0.4,1,0,6,1.052,29.42,76.8,55.9,0.52,2054,0.073,80.3
7,4300,28.2,34.4,8.8,0,0.311,96,0,-0.2,4300,29.6,36.2,8.8,0,0.311,96,0,-0.2,4300,-0.2,-0.2,98.8,-0.1,54.5,-0.2,13.1,0,4300,0,0,0,0,80,68,82,69,4300,0,96,0,0,0,0,0,0,4300,8.8,245.3,236.5,0.75,0,70,54.5,-0.2,4300,326,300,0,0,0,0,0,0,4300,0,0,0,0,0,0,0,0,7,3.74,2.835,1,4,31.1,0.4,1,0,7,1.052,29.42,76.8,55.9,0.52,2054,0.073,80.3
8,4400,29.9,35.7,9,0,0.3,96,0,-0.2,4400,31.5,37.6,9,0,0.3,96,0,-0.2,4400,-0.2,-0.2,98.9,-0.1,54.5,-0.2,13.1,0,4400,0,0,0,0,80,68,82,69,4400,0,96,0,0,0,0,0,0,4400,9,245.4,236.5,0.75,0,71,54.5,-0.2,4400,365,300,0,0,0,0,0,0,4400,0,0,0,0,0,0,0,0,8,3.74,2.835,1,4,31.1,0.4,1,0,8,1.052,29.42,76.8,55.9,0.52,2054,0.073,80.3
9,4500,30.5,35.7,8.7,0,0.285,96,0,-0.2,4500,32.1,37.5,8.7,0,0.285,96,0,-0.2,4500,-0.2,-0.2,98.8,-0.1,54.5,-0.2,13.1,0,4500,0,0,0,0,80,68,82,69,4500,0,96,0,0,0,0,0,0,4500,8.7,245.5,236.8,0.75,0,71,54.5,-0.2,4500,354,300,0,0,0,0,0,0,4500,0,0,0,0,0,0,0,0,9,3.74,2.835,1,4,31.1,0.4,1,0,9,1.052,29.42,76.8,55.9,0.52,2055,0.073,80.4
