Line,EngSpd,EngPwr,EngTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,STPPwr,STPTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,Oil_P ,Man_P ,MAP   ,BoostP,FuelP1,FuelP2,Batt_V,------,EngSpd,Exh_1 ,Exh_2 ,Exh_3 ,Exh_4 ,Bear1T,Bear2T,Loss1T,LossT2,EngSpd,OilSmp,CoolOt,------,------,------,------,------,------,EngSpd,NetFlo,GasOut,GasIn ,FuelSG,Air_1s,DeltaT,FuelP1,FuelP2,EngSpd,Accel ,Rate  ,------,------,------,------,------,------,EngSpd,AFR_1 ,AFR_2 ,AFR_3 ,AFR_4 ,AFR_5 ,AFR_6 ,AFR_7 ,AFR_8 ,LineNo,EngBor,EngStr,EngCyl,EngCyc,Displ ,Inrtia,InrCor,------,LineNo,STPCor,Baro_P,AirInT,Humidy,Vap_P ,DenAlt,AirDen,WatGrn,
no,RPM   ,Hp    ,lbs-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,CHp   ,Clb-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,0-150p,InHg  ,kPa   ,0-150p,0-150p,0-150p,vdc   ,------,RPM   ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,RPM   ,deg F ,deg F ,------,------,------,------,------,------,RPM   ,lbs/hr,lbs/hr,lbs/hr,lb/gal,SCFM  ,deg F ,0-150p,0-150p,RPM   ,RPM/s ,rpm   ,------,------,------,------,------,------,RPM   ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,      ,inches,inches,number,cycles,ci    ,factor,Yes/No,------,      ,Factor,InHga ,degF  ,%     ,InHg  ,Feet  ,lb/cft,grains,
1,3700,22.2,31.5,7.6,0.0,0.343,90,0,-0.1,3700,23.2,33.0,7.6,0.0,0.343,90,0,-0.1,3700,-0.1,-0.1,98.7,-0.1,54.6,-0.1,13.1,0,3700,1111,0,0,0,82,68,84,69,3700,0,90,0,0,0,0,0,0,3700,7.6,239.7,232.1,0.750,0.0,35,54.6,-0.1,3700,201,300,0,0,0,0,0,0,3700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.740,2.835,1,4,31.1,0.400,1,0,1,1.049,29.30,78.9,25.0,0.25,2213,0.072,38.5,
2,3800,25.7,35.5,7.9,0.0,0.309,90,0,-0.1,3800,26.9,37.2,7.9,0.0,0.309,90,0,-0.1,3800,-0.1,-0.1,98.7,-0.1,54.6,-0.1,13.1,0,3800,1112,0,0,0,81,68,84,69,3800,0,90,0,0,0,0,0,0,3800,7.9,238.6,230.7,0.750,0.0,35,54.6,-0.1,3800,332,300,0,0,0,0,0,0,3800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.740,2.835,1,4,31.1,0.400,1,0,2,1.049,29.30,78.9,25.0,0.25,2213,0.072,38.5,
3,3900,27.3,36.8,8.4,0.0,0.308,90,0,-0.1,3900,28.7,38.6,8.4,0.0,0.308,90,0,-0.1,3900,-0.1,-0.1,98.8,-0.1,54.6,-0.1,13.1,0,3900,1112,0,0,0,81,68,84,69,3900,0,90,0,0,0,0,0,0,3900,8.4,237.9,229.5,0.750,0.0,35,54.6,-0.1,3900,370,300,0,0,0,0,0,0,3900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.740,2.835,1,4,31.1,0.400,1,0,3,1.049,29.30,78.9,25.0,0.25,2213,0.072,38.5,
4,4000,26.9,35.3,9.0,0.0,0.333,91,0,-0.1,4000,28.2,37.0,9.0,0.0,0.333,91,0,-0.1,4000,-0.1,-0.1,98.8,-0.1,54.6,-0.1,13.1,0,4000,1114,0,0,0,81,68,84,69,4000,0,91,0,0,0,0,0,0,4000,9.0,236.9,228.0,0.750,0.0,35,54.6,-0.1,4000,319,300,0,0,0,0,0,0,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3.740,2.835,1,4,31.1,0.400,1,0,4,1.049,29.30,78.9,25.0,0.25,2213,0.072,38.5,
5,4100,24.6,31.5,7.1,0.0,0.288,91,0,-0.1,4100,25.8,33.1,7.1,0.0,0.288,91,0,-0.1,4100,-0.1,-0.2,98.7,-0.1,54.6,-0.1,13.1,0,4100,1119,0,0,0,81,68,84,69,4100,0,91,0,0,0,0,0,0,4100,7.1,237.3,230.2,0.750,0.0,35,54.6,-0.1,4100,220,300,0,0,0,0,0,0,4100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3.740,2.835,1,4,31.1,0.400,1,0,5,1.049,29.30,78.9,24.9,0.25,2213,0.072,38.4,
6,4200,26.3,32.9,5.4,0.0,0.205,91,0,-0.1,4200,27.6,34.5,5.4,0.0,0.205,91,0,-0.1,4200,-0.1,-0.2,98.7,-0.1,54.6,-0.1,13.1,0,4200,1124,0,0,0,81,68,84,69,4200,0,91,0,0,0,0,0,0,4200,5.4,237.0,231.6,0.750,0.0,35,54.6,-0.1,4200,282,300,0,0,0,0,0,0,4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3.740,2.835,1,4,31.1,0.400,1,0,6,1.049,29.30,78.9,24.9,0.25,2213,0.072,38.4,
7,4300,27.7,33.8,4.7,0.0,0.170,91,0,-0.1,4300,29.0,35.4,4.7,0.0,0.170,91,0,-0.1,4300,-0.1,-0.1,98.8,-0.1,54.6,-0.1,13.1,0,4300,1128,0,0,0,81,68,84,69,4300,0,91,0,0,0,0,0,0,4300,4.7,236.6,231.9,0.750,0.0,35,54.6,-0.1,4300,322,300,0,0,0,0,0,0,4300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3.740,2.835,1,4,31.1,0.400,1,0,7,1.049,29.30,78.9,24.9,0.25,2212,0.072,38.4,
8,4400,28.1,33.5,6.3,0.0,0.224,91,0,-0.1,4400,29.4,35.1,6.3,0.0,0.224,91,0,-0.1,4400,-0.1,-0.1,98.8,-0.1,54.6,-0.1,13.1,0,4400,1132,0,0,0,81,68,84,69,4400,0,91,0,0,0,0,0,0,4400,6.3,237.6,231.3,0.750,0.0,35,54.6,-0.1,4400,323,300,0,0,0,0,0,0,4400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3.740,2.835,1,4,31.1,0.400,1,0,8,1.049,29.30,78.9,24.9,0.25,2212,0.072,38.4,
9,4500,28.2,32.9,7.8,0.0,0.275,91,0,-0.1,4500,29.6,34.5,7.8,0.0,0.275,91,0,-0.1,4500,-0.1,-0.1,98.8,-0.1,54.6,-0.1,13.1,0,4500,1136,0,0,0,81,68,84,69,4500,0,91,0,0,0,0,0,0,4500,7.8,238.2,230.4,0.750,0.0,35,54.6,-0.1,4500,317,300,0,0,0,0,0,0,4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,3.740,2.835,1,4,31.1,0.400,1,0,9,1.049,29.30,78.9,24.9,0.25,2212,0.072,38.4,
