Line,EngSpd,EngPwr,EngTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,STPPwr,STPTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,Oil_P ,Man_P ,MAP   ,BoostP,FuelP1,FuelP2,Batt_V,------,EngSpd,Exh_1 ,Exh_2 ,Exh_3 ,Exh_4 ,Bear1T,Bear2T,Loss1T,LossT2,EngSpd,OilSmp,CoolOt,------,------,------,------,------,------,EngSpd,NetFlo,GasOut,GasIn ,FuelSG,Air_1s,DeltaT,FuelP1,FuelP2,EngSpd,Accel ,Rate  ,------,------,------,------,------,------,EngSpd,AFR_1 ,AFR_2 ,AFR_3 ,AFR_4 ,AFR_5 ,AFR_6 ,AFR_7 ,AFR_8 ,LineNo,EngBor,EngStr,EngCyl,EngCyc,Displ ,Inrtia,InrCor,------,LineNo,STPCor,Baro_P,AirInT,Humidy,Vap_P ,DenAlt,AirDen,WatGrn,
no,RPM   ,Hp    ,lbs-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,CHp   ,Clb-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,0-150p,InHg  ,kPa   ,0-150p,0-150p,0-150p,vdc   ,------,RPM   ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,RPM   ,deg F ,deg F ,------,------,------,------,------,------,RPM   ,lbs/hr,lbs/hr,lbs/hr,lb/gal,SCFM  ,deg F ,0-150p,0-150p,RPM   ,RPM/s ,rpm   ,------,------,------,------,------,------,RPM   ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,      ,inches,inches,number,cycles,ci    ,factor,Yes/No,------,      ,Factor,InHga ,degF  ,%     ,InHg  ,Feet  ,lb/cft,grains,
1,3700,20.5,29.1,6.9,0.0,0.334,112,0,-0.2,3700,21.5,30.6,6.9,0.0,0.334,112,0,-0.2,3700,-0.2,-0.2,98.8,-0.1,54.4,-0.2,13.1,0,3700,1188,0,0,0,79,72,81,70,3700,0,112,0,0,0,0,0,0,3700,6.9,204.5,197.7,0.750,0.0,52,54.4,-0.2,3700,164,300,0,0,0,0,0,0,3700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.740,2.835,1,4,31.1,0.400,1,0,1,1.049,29.41,75.0,53.0,0.47,1932,0.073,71.9,
2,3800,22.9,31.7,7.3,0.0,0.318,111,0,-0.2,3800,24.0,33.2,7.3,0.0,0.318,111,0,-0.2,3800,-0.2,-0.2,98.8,-0.1,54.4,-0.2,13.1,0,3800,1187,0,0,0,79,72,81,71,3800,0,111,0,0,0,0,0,0,3800,7.3,205.8,198.5,0.750,0.0,53,54.4,-0.2,3800,252,300,0,0,0,0,0,0,3800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.740,2.835,1,4,31.1,0.400,1,0,2,1.049,29.41,75.0,53.0,0.47,1932,0.073,71.9,
3,3900,25.2,33.9,8.0,0.0,0.315,110,0,-0.2,3900,26.4,35.6,8.0,0.0,0.315,110,0,-0.2,3900,-0.2,-0.2,98.8,-0.1,54.4,-0.2,13.1,0,3900,1185,0,0,0,79,72,81,70,3900,0,110,0,0,0,0,0,0,3900,8.0,206.4,198.5,0.750,0.0,53,54.4,-0.2,3900,323,300,0,0,0,0,0,0,3900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.740,2.835,1,4,31.1,0.400,1,0,3,1.049,29.41,75.0,53.0,0.47,1932,0.073,71.9,
4,4000,27.1,35.6,7.6,0.0,0.280,110,0,-0.2,4000,28.4,37.3,7.6,0.0,0.280,110,0,-0.2,4000,-0.2,-0.2,98.8,-0.1,54.4,-0.2,13.1,0,4000,1183,0,0,0,79,72,81,70,4000,0,110,0,0,0,0,0,0,4000,7.6,206.2,198.6,0.750,0.0,54,54.4,-0.2,4000,375,300,0,0,0,0,0,0,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3.740,2.835,1,4,31.1,0.400,1,0,4,1.049,29.41,75.0,53.0,0.47,1932,0.073,71.9,
5,4100,27.7,35.5,7.0,0.0,0.253,109,0,-0.2,4100,29.1,37.2,7.0,0.0,0.253,109,0,-0.2,4100,-0.2,-0.2,98.9,-0.1,54.3,-0.2,13.1,0,4100,1180,0,0,0,79,72,81,70,4100,0,109,0,0,0,0,0,0,4100,7.0,205.6,198.6,0.750,0.0,55,54.3,-0.2,4100,371,300,0,0,0,0,0,0,4100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3.740,2.835,1,4,31.1,0.400,1,0,5,1.049,29.41,75.0,53.0,0.47,1932,0.073,71.9,
6,4200,26.9,33.7,6.9,0.0,0.258,109,0,-0.2,4200,28.2,35.3,6.9,0.0,0.258,109,0,-0.2,4200,-0.2,-0.2,98.9,-0.1,54.3,-0.2,13.1,0,4200,1177,0,0,0,79,72,81,70,4200,0,109,0,0,0,0,0,0,4200,6.9,205.0,198.1,0.750,0.0,55,54.3,-0.2,4200,316,300,0,0,0,0,0,0,4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3.740,2.835,1,4,31.1,0.400,1,0,6,1.049,29.41,75.0,53.0,0.47,1932,0.073,71.9,
7,4300,27.8,34.0,8.6,0.0,0.309,108,0,-0.2,4300,29.2,35.6,8.6,0.0,0.309,108,0,-0.2,4300,-0.2,-0.2,98.9,-0.1,54.3,-0.2,13.1,0,4300,1175,0,0,0,79,72,81,70,4300,0,108,0,0,0,0,0,0,4300,8.6,205.1,196.5,0.750,0.0,56,54.3,-0.2,4300,329,300,0,0,0,0,0,0,4300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3.740,2.835,1,4,31.1,0.400,1,0,7,1.049,29.41,75.0,53.0,0.47,1932,0.073,71.9,
8,4400,29.3,34.9,9.8,0.0,0.335,108,0,-0.2,4400,30.7,36.6,9.8,0.0,0.335,108,0,-0.2,4400,-0.2,-0.2,98.9,-0.1,54.3,-0.2,13.1,0,4400,1175,0,0,0,79,72,81,70,4400,0,108,0,0,0,0,0,0,4400,9.8,205.0,195.2,0.750,0.0,56,54.3,-0.2,4400,353,300,0,0,0,0,0,0,4400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3.740,2.835,1,4,31.1,0.400,1,0,8,1.049,29.41,75.0,53.0,0.47,1932,0.073,71.9,
9,4500,29.7,34.7,10.5,0.0,0.354,108,0,-0.2,4500,31.2,36.4,10.5,0.0,0.354,108,0,-0.2,4500,-0.2,-0.2,99.0,-0.1,54.3,-0.2,13.1,0,4500,1175,0,0,0,79,72,81,71,4500,0,108,0,0,0,0,0,0,4500,10.5,205.2,194.6,0.750,0.0,56,54.3,-0.2,4500,338,300,0,0,0,0,0,0,4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,3.740,2.835,1,4,31.1,0.400,1,0,9,1.049,29.41,75.0,53.0,0.47,1932,0.073,71.9,
