Line,EngSpd,EngPwr,EngTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,STPPwr,STPTrq,NetFlo,Air_1s,BSFC  ,CoolOt,OilSmp,Oil_P ,EngSpd,Oil_P ,Man_P ,MAP   ,BoostP,FuelP1,FuelP2,Batt_V,------,EngSpd,Exh_1 ,Exh_2 ,Exh_3 ,Exh_4 ,Bear1T,Bear2T,Loss1T,LossT2,EngSpd,OilSmp,CoolOt,------,------,------,------,------,------,EngSpd,NetFlo,GasOut,GasIn ,FuelSG,Air_1s,DeltaT,FuelP1,FuelP2,EngSpd,Accel ,Rate  ,------,------,------,------,------,------,EngSpd,AFR_1 ,AFR_2 ,AFR_3 ,AFR_4 ,AFR_5 ,AFR_6 ,AFR_7 ,AFR_8 ,LineNo,EngBor,EngStr,EngCyl,EngCyc,Displ ,Inrtia,InrCor,------,LineNo,STPCor,Baro_P,AirInT,Humidy,Vap_P ,DenAlt,AirDen,WatGrn
no,RPM   ,Hp    ,lbs-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,CHp   ,Clb-ft,lbs/hr,SCFM  ,lb/hph,deg F ,deg F ,0-150p,RPM   ,0-150p,InHg  ,kPa   ,0-150p,0-150p,0-150p,vdc   ,------,RPM   ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,deg F ,RPM   ,deg F ,deg F ,------,------,------,------,------,------,RPM   ,lbs/hr,lbs/hr,lbs/hr,lb/gal,SCFM  ,deg F ,0-150p,0-150p,RPM   ,RPM/s ,rpm   ,------,------,------,------,------,------,RPM   ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,ratio ,      ,inches,inches,number,cycles,ci    ,factor,Yes/No,------,      ,Factor,InHga ,degF  ,%     ,InHg  ,Feet  ,lb/cft,grains
1,3700,22.2,31.5,6.2,0,0.281,94,0,-0.2,3700,23.3,33,6.2,0,0.281,94,0,-0.2,3700,-0.2,-0.4,98.2,-0.2,54.4,-0.2,13.1,0,3700,0,0,0,0,79,70,80,69,3700,0,94,0,0,0,0,0,0,3700,6.2,221.6,215.3,0.75,0,70,54.4,-0.2,3700,211,300,0,0,0,0,0,0,3700,0,0,0,0,0,0,0,0,1,3.74,2.835,1,4,31.1,0.4,1,0,1,1.048,29.43,74.1,59,0.51,1864,0.073,77.5
2,3800,25.5,35.3,7,0,0.272,94,0,-0.2,3800,26.8,37,7,0,0.272,94,0,-0.2,3800,-0.2,-0.4,98.2,-0.2,54.4,-0.2,13.1,0,3800,0,0,0,0,79,70,80,69,3800,0,94,0,0,0,0,0,0,3800,7,222.1,215.2,0.75,0,70,54.4,-0.2,3800,334,300,0,0,0,0,0,0,3800,0,0,0,0,0,0,0,0,2,3.74,2.835,1,4,31.1,0.4,1,0,2,1.048,29.43,74.1,59,0.51,1864,0.073,77.5
3,3900,27.2,36.7,7.3,0,0.27,94,0,-0.2,3900,28.5,38.4,7.3,0,0.27,94,0,-0.2,3900,-0.2,-0.4,98.2,-0.2,54.4,-0.2,13.1,0,3900,0,0,0,0,79,70,81,69,3900,0,94,0,0,0,0,0,0,3900,7.3,222.7,215.3,0.75,0,71,54.4,-0.2,3900,376,300,0,0,0,0,0,0,3900,0,0,0,0,0,0,0,0,3,3.74,2.835,1,4,31.1,0.4,1,0,3,1.048,29.43,74.1,59,0.51,1864,0.073,77.5
4,4000,27.4,36,7.7,0,0.28,93,0,-0.2,4000,28.7,37.7,7.7,0,0.28,93,0,-0.2,4000,-0.2,-0.3,98.5,-0.2,54.4,-0.2,13.1,0,4000,0,0,0,0,79,70,81,69,4000,0,93,0,0,0,0,0,0,4000,7.7,223.6,215.9,0.75,0,71,54.4,-0.2,4000,352,300,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,4,3.74,2.835,1,4,31.1,0.4,1,0,4,1.048,29.43,74.1,59,0.51,1864,0.073,77.5
5,4100,25.4,32.5,7.3,0,0.289,92,0,-0.2,4100,26.6,34.1,7.3,0,0.289,92,0,-0.2,4100,-0.2,-0.3,98.8,-0.1,54.4,-0.2,13.1,0,4100,0,0,0,0,79,69,81,69,4100,0,92,0,0,0,0,0,0,4100,7.3,224,216.7,0.75,0,72,54.4,-0.2,4100,249,300,0,0,0,0,0,0,4100,0,0,0,0,0,0,0,0,5,3.74,2.835,1,4,31.1,0.4,1,0,5,1.048,29.43,74.1,59,0.51,1864,0.073,77.5
6,4200,26.4,33,7.1,0,0.267,92,0,-0.2,4200,27.7,34.6,7.1,0,0.267,92,0,-0.2,4200,-0.2,-0.3,98.7,-0.1,54.4,-0.2,13.1,0,4200,0,0,0,0,79,69,81,70,4200,0,92,0,0,0,0,0,0,4200,7.1,223,215.9,0.75,0,72,54.4,-0.2,4200,280,300,0,0,0,0,0,0,4200,0,0,0,0,0,0,0,0,6,3.74,2.835,1,4,31.1,0.4,1,0,6,1.048,29.43,74.1,59,0.51,1864,0.073,77.5
7,4300,28.7,35.1,7.3,0,0.254,92,0,-0.2,4300,30.1,36.8,7.3,0,0.254,92,0,-0.2,4300,-0.2,-0.3,98.5,-0.2,54.4,-0.2,13.1,0,4300,0,0,0,0,79,69,81,70,4300,0,92,0,0,0,0,0,0,4300,7.3,222.1,214.8,0.75,0,72,54.4,-0.2,4300,348,300,0,0,0,0,0,0,4300,0,0,0,0,0,0,0,0,7,3.74,2.835,1,4,31.1,0.4,1,0,7,1.048,29.43,74.1,59,0.51,1864,0.073,77.5
8,4400,30.6,36.5,7.6,0,0.248,93,0,-0.2,4400,32,38.3,7.6,0,0.248,93,0,-0.2,4400,-0.2,-0.4,98.3,-0.2,54.4,-0.2,13.1,0,4400,0,0,0,0,79,69,81,70,4400,0,93,0,0,0,0,0,0,4400,7.6,221.6,214.1,0.75,0,72,54.4,-0.2,4400,384,300,0,0,0,0,0,0,4400,0,0,0,0,0,0,0,0,8,3.74,2.835,1,4,31.1,0.4,1,0,8,1.048,29.43,74.1,59,0.51,1864,0.073,77.5
9,4500,31,36.2,7.7,0,0.248,93,0,-0.2,4500,32.5,37.9,7.7,0,0.248,93,0,-0.2,4500,-0.2,-0.4,98.2,-0.2,54.4,-0.2,13.1,0,4500,0,0,0,0,79,69,81,69,4500,0,93,0,0,0,0,0,0,4500,7.7,221.7,214,0.75,0,72,54.4,-0.2,4500,365,300,0,0,0,0,0,0,4500,0,0,0,0,0,0,0,0,9,3.74,2.835,1,4,31.1,0.4,1,0,9,1.048,29.43,74.1,59,0.51,1861,0.073,77.5
